,Date,Commit ID,Compilation Result,Error Type,Error Message
,2022-02-27,9a932c5822eb8ef47c1954ea31acfd47f8f6f440,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-02-25,407b09e3cf06254038f00c7616ee06631359cbcc,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-02-23,3db4de9da1447e2a5135ac9330d4347b9d220a0d,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-02-22,5b9b06f1aeb4a02ed9c8b9fa7669b1bc7ae33d5f,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-02-15,7018d2fff35de96a90a1008366e38580e448fb84,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-02-14,f19544b5d4aa5e36e5af3c51d9bc34f924af1c82,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-02-11,0de75bc1ad6521bb96e358fe69882425afe8c260,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-02-09,7d35b67a8d2306a7d92cbc51cacc36cbf29f8899,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-02-08,1eae5e473b7775419760747b5d1f4dadd0c09052,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-02-05,dcf12813de7438fb5d5e96f7c99b27db8949dff5,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-02-04,ee8c5bc2a32f56e3056dd7e5cc12cf292b1cbed9,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-02-02,3f068390a66706b41798d562835278bb37227b97,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-01-27,568fea837c8c793da0020abd9b7c0dd3f525c433,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-01-26,e089b51ab5e1cf5f061c81463d27f33a21198271,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-01-19,7f317486abf6fab2bb7e05d8d9cd728c9285e773,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-01-17,f737e9b072b19c16408d2df70af4699a1bfe1b7e,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-01-13,bc02d8c487a809fa58d75c477d9e2d5c7dedccec,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-01-11,8b0351b1674cef65cd12219ba4a50f6b880135db,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-01-10,ee2462ce30341583eb7f4471ca27c72771a1202f,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-01-08,3fcceb165c374dcc009b7fa8055b76232b922742,Fail,Other,"Cannot perform signing task, no configured signatory"
,2022-01-07,283e01aa786b1df5e7a8bac6688ec60042662fe8,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-12-23,4dae979c5b35c434105f0c9810c87dd91237bb7e,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-12-21,05f42e5dd466437bd0ae08190f065cc7c2ec05a7,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-12-16,7385d90189b2aa9ae11418a7c1c0fa60e5d0ea25,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-12-14,3218f9d3dfaa4095496e125614fbdcf546bfe970,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-12-13,a2d73416667a94597d507f9a27b1561d39366c98,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-12-12,28de93dd6a377ecf4d91ef54bf06a49c9bb956b5,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-12-10,3ff15525a90bd2f9d9e8b50bdd2eac5365ea6b34,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-12-07,684a0c3e17180a8618bff036e2f0add303bc910d,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-12-03,163df5b203d3e341ee9e3e5738ba5e1be2af4112,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-12-01,7395bb48e2ff41fac93a84ff8bfa9097bd0af8fe,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-11-30,4576ec98a8a1f1894f61d74ff834559868022d7d,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-11-24,abf1a96e38bb74f7f7a47e9b6f2b337bd07d622f,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-11-23,b57010737ef9a2c78daf5b19b17c075706eb3c21,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-11-19,e9e9bf92f7c124fb11d8de57fdfec860441ac8a8,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-11-16,a142ebc08cc855003fbfb674f7e7accb45e1f61f,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-11-14,ea63b19cf7398dc59f81b7087c877fa03413f040,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-11-11,082a521671b472e8d9c2c0fb3704a8ee588cd62e,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-11-09,06fe2ab00612c7b91bc1f07aa27fbaaedb492bf2,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-11-08,cd6ce3e8d513c62b5802094ca93d1b695c0d3611,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-11-04,ebf716db3128e2a43e923fc60194570fc770a968,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-11-02,4b0f0fa2a46874033f6440f72b8bea2d6e549cbf,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-10-29,fe671ea51bc837d71c54a9db265c3dbd5c990e47,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-10-27,6e3c82cbfba7e75b946075a65c16cb390c09f9a6,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-10-25,4ae5b3b5a6bf5a13ea73a2f6157a56ad22ec4ebe,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-10-23,746f9f6ff5f54203a6f1c25b7d0f02642455ea04,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-10-22,14ef56fb7dd99c59b8c05df8c4faef1ef2b06c67,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-10-20,3dd671c740cf34e0cbdca0dc2ac506c06cf97472,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-10-18,a4afaa49057002135fc404653a158ad3333005aa,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-10-16,a9b576da2f7f974ce46789dd8308240d18765754,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-10-15,4dc426000d35a93ee0681c0c0124d4b1d3c53ad8,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-10-13,594a0568528120ccffb07450c2c28144efb683d6,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-10-11,e413c7094f5a4ba7cde3b2e399f8ebe4366b464c,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-10-08,883231ec8be26b9b118db5a2df3651cff840d322,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-10-05,9c6c5d9dc626d020e3efa995ad75fe49ccacc23a,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-10-04,510439d1c703270ca7b7166a435476ce9ce39eb2,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-09-29,540946422544cce8a6ac74e3b99c446c398ac59a,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-09-27,3b53b6f671d08a4545249933e442475e142cca11,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-09-24,0b93249d25419de9714f22c396d371940be448f9,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-09-08,c7236adc3cb659e65ae5ce53b7156569d7f50ebd,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-09-06,97818f5123999396e66f5246420d3c7e3d25f53d,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-08-30,5771321ef8d7689a3b88c0c9a9a42a458cebcd00,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-08-27,938bb7f38551c6d3d9f94af43703b9d65785e973,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-08-25,c8d4086697f85c9093f4da2c907a13e17c198914,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-08-24,393834b6131423c0b7c5d7baa54b1bd867afe72a,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-08-18,cde05029ffcc8492aab821f0350a43793e237f3e,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-08-13,ea08e6d7b3a9c4803c42b739b43105df0fce0d3e,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-08-05,c610d798ca8db997e3d573b104341b66a232f760,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-07-16,2346686c3b8621a585ad678926adf60206227367,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-07-13,d9cf767edd7b6714c222d6be9bfb863efa1ea2a5,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-07-09,31e8d1b44ffafd867d0eb2774085e4b1141a7acb,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-07-05,d03b046c2526a3b89305da6460b601656ecd0700,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-06-27,a445728a2ab1f6b6805c6904126fb039d71d8faf,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-06-24,6a19e0e3b8d76b5abb872a4cce81f99cbdf36a88,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-06-17,c0113ce69a80d35b89ba5dda2fd45512bca6b548,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-05-31,16e8ba772bb5cf4c7546fb559bd9d455d4e42625,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-05-27,9f06a4ce82f61a9dc4b086650a301734332f4246,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-05-25,c1847af5a6d75436aafd13501cb15973ea6b4995,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-05-24,61ddb9f3469cc307ab39ac5d2fb946eed59c003b,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-05-14,bb8b1e0fee1585fcd166a27a3d91ec0e433dadcb,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-05-10,732b6cf2a6576c844a4b43176125e82d500a6ea8,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-05-08,034ef8566ad037937a4d58a28f70631175744f53,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-05-07,6ce96b8349678189c32dcaf6954da129fe093ef6,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-05-04,b606da7bc8dd1c6c8f610d5acf1403d798b6dcf1,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-05-03,0f22d238c225ec667c58e1c5029644478d636128,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-04-26,3c9c7102538909fd3764ea7314e7618d6d9458fd,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-04-21,a832ed5026fe5c556861a55a6f2a7768630fb36d,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-04-19,874a38b738773ff873f127a0e63fafd7a4ca4299,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-04-16,44b1069e20ce6cc84302ed685936080f612bd8f0,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-04-14,9256dbab334dd1e8b60fc575fa22e0559f47f6f7,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-04-12,f1a1f12195d8538338d000dba71fb2e98de0afbb,Fail,Other,"Cannot perform signing task, no configured signatory"
,2021-04-09,19c86f20500a7fd9b4ce5ca42caf42337863f2a8,Success,,
,2021-04-06,25264f997ef22d9f456a9b88832dfa6634927b60,Success,,
,2021-04-01,2722c9bfed3396f7fa0785c5e8e412fd412f03c0,Success,,
,2021-03-30,c9541086de1a6e402a1aa437a2d57173edaf8132,Success,,
,2021-03-28,840043031cfc6d7153b98aeab42dd3f1404f34fb,Success,,
,2021-03-25,8128bdf48ff50878f78bd59af58ed8d9c39bd8b1,Success,,
,2021-03-24,5b90867c91abb95df6957ee79ffbb494db9321e8,Success,,
,2021-03-23,3e1507eb862ab5b7d23c15107d36a10ebe14eadd,Success,,
,2021-03-19,1343a87854f2cd0e145569a7c9755d0fc194ab22,Success,,
