,Date,Commit ID,Compilation Result,Error Type,Error Message,
,2022-02-23,dede61d4813ecba9a51c7417214ea69092a88172,Success,,,
,2022-01-26,0162fed255cc7708ea6e476ff3e0f9300660d4f4,Fail,Compilation,,
,2022-01-01,05c62596b90480dce2f2b0f3b3bc30721d3adbfd,Fail,Compilation,,
,2021-12-09,6b0413ccdf22d216f9f8d855b6159ecaff29c1ce,Fail,Compilation,,
,2021-11-15,55810c505d8f1429640eb7a7561a5f6cc10165dd,Fail,Compilation,,
,2021-10-21,ff81dec73c6ed5e0a2de1f14868d008d189d066f,Fail,Compilation,,
,2021-09-28,f8371a9506d6800995d1cf015c19867e9beb1ad8,Fail,Compilation,,
,2021-09-03,88523888bf83c58301c6c6b2978762ec649fb876,Fail,Compilation,,
,2021-08-11,4af660d00666f6380a3f38e9cc19851d056a7c45,Fail,Compilation,,
,2021-07-19,4984b0434dde8e065d5392f5818239e9041c72b2,Fail,Compilation,,
,2021-06-25,d9c75be915564675b6865ad8367508c17a3916e8,Fail,Compilation,,
,2021-06-01,9d7ed44ff7e068872671e278e953c94a54fd345d,Fail,Compilation,,
,2021-05-05,4e471de356d7c8c835c441cc8f23c48578cd4ca7,Fail,Compilation,,
,2021-04-13,9371dc8e071251412fd6633b1ad4d12c25305440,Fail,Compilation,,
,2021-03-20,4e0aa8d25f48bfbfe4e5f8248b7b383ce35fe836,Fail,Compilation,,
,2021-02-24,cffd54fe1e82aaf529eeae0d36eb1dc976918442,Fail,Compilation,,
,2021-02-01,d52647d08ac2c1894e537d0a974f7b562d59b2a7,Fail,Compilation,,
,2021-01-08,a52745c98559b0403a20a5bcfdf48202db2326b9,Fail,Compilation,,
,2020-02-15,6e3e43c1fa28b4d4b626f9231d677a365051d873,Fail,Compilation,,
,2020-11-20,986733ecb27cfb959bccf080a1dee77981dc458a,Fail,Compilation,,
,2020-10-27,174c7cbca04204d3a130c377e39e041f8b55515f,Fail,Compilation,,
,2020-10-03,c91e91592bffadefffd221a0946ee8f9e229190b,Fail,Compilation,,
,2020-09-09,f5847896722821c14566a99d1195f8f3f56f8b5f,Fail,Compilation,,
,2020-08-15,8021084e4fdb4e03ef8495a190cc1618a6db67ba,Fail,Compilation,,
,2020-07-22,6a0e2bccfc40434087914913a50896424d9f8b92,Fail,Compilation,,
,2020-06-28,84fc86d0527c47f92691ac2b1472301d40e239fc,Fail,Compilation,,
,2020-06-04,41f3d4e6b1c8a10eb22940683ccd100ac654432b,Fail,Compilation,,
,2020-05-11,19b900f8c5cf50791bf2b9120ea3dd5e5e6eff37,Fail,Compilation,,
,2020-04-17,aab948a5e6c82319a631c901a17cc01692da14c2,Fail,Compilation,,
,2020-03-24,f7b79c9eba9a3f88198cc3d64d15c76cfcc3fd00,Fail,Dependency,,
,2020-02-28,f64796910e6f2143b3cba3bec035b3074106efda,Fail,Dependency,,
,2020-02-04,5c89db6acec1ec11211159c9a32dff7422ed42cd,Fail,Dependency,,
,2020-01-10,495a6033d161c780c163fca61cfeb84260c13a7b,Fail,Dependency,,
,2019-12-17,63d549b4aab36fc9615fca659f33f5a0edfc93fb,Fail,Dependency,,
,2019-11-22,e5cdb88afddbc80635600e18660f0382979f0066,Fail,Dependency,,
,2019-10-29,7868cb6d6236fcf409f241eeaec2fc69357a85ee,Fail,Dependency,,
,2019-10-06,167c54e6a29a5e2573687add46ae4d095756613b,Fail,Dependency,,
,2019-09-12,b0f240772e449c32cf6e8a33fa6c8f706ec7d61f,Fail,Dependency,,
,2019-08-19,c5121fb5d1a2f88035202a88e39598309629643e,Fail,Dependency,,
,2019-07-25,dc6890107a2651d8ba1450e8db8a1c39d712fdc7,Fail,Dependency,,
,2019-07-01,d55321b0f2d56c229c91c123150ffad8f5a77621,Fail,Dependency,,
,2019-06-07,f7785a54c5b429df8cafb950d5ce9b16a83decd9,Fail,Dependency,,
,2019-05-14,29cc2ce02526630dcd8c764856c5a27b06c65c2f,Fail,Dependency,,
,2019-04-19,5053c7f3896fdd1a184f099bcf6ee825b8378201,Fail,Dependency,,
,2019-03-26,abbba679666312696b4a9754d08e3d0f19514f49,Fail,Dependency,,
,2019-03-02,004db486bccd1343a9dfb59d20a8f663510881ad,Fail,Dependency,,
,2019-02-06,5be5d542a04c5f9017fb9965b9df27100b269055,Fail,Dependency,,
,2019-01-14,2951e615017dfe78c2ce58068e8ef5428b1960e0,Fail,Dependency,,
,2018-12-21,0b22af12981b4cf4b695aa6497d8029797f9185c,Fail,Dependency,,
,2018-11-27,446794e8e56d390deda7544a938d4c2efb564754,Fail,Dependency,,
,2018-11-04,2b4313aff2d418d73814f966fc8d207706cec6a0,Fail,Dependency,,
,2018-10-11,6ddd5c3573ecf92a21ab6e3d0f3685017ccff758,Fail,Dependency,,
,2018-09-17,c1c0add22eea88168d3ee8b03a07b62888d8b068,Fail,Dependency,,
,2018-08-24,e719331d03b3e3b1ae069b9db5b04cc928b96e3f,Fail,Compilation,?needs investigation,
,2018-07-31,22ed48310093e515f68d4bcba207287afc0a12b2,Fail,Dependency,,
,2018-07-06,dbdbd7a83f70340ab3a8b76823b04780c0b29430,Fail,Dependency,,
,2018-06-13,3f4c33b0588bfc147bdb052e45d149a7397dffe9,Success,,,
,2018-05-21,45af84a24e2ac7030ee3db3759ea96f202e50605,Success,,,
,2018-04-27,31240b810fe65ded17296d62445152aece245554,Success,,,
,2018-04-03,912a1b211633b63cdaa49b6811a90ac1591c959c,Success,,,
,2018-03-09,17602ce01f82188b807cae63c65770e33006a26f,Success,,,
,2018-02-13,da5da792874f04b276a015f658f3a1a6a8301e4c,Success,,,
,2018-01-10,3bc3b51f5175079d23b3bab0824817c98cecb19a,Fail,Other,Can not get zip to tmp,
,2017-12-18,b16f984a7e94bdd02c511d1fb54ac132e726cce5,Fail,Other,Can not get zip to tmp,
,2017-11-22,b3f1c42b47712d4cc886f339bd694ac1acc060c0,Fail,Other,Can not get zip to tmp,
,2017-10-30,fd907a00ae1c5b42affbb9db63a1f8caabdb4178,Fail,Other,Can not get zip to tmp,
,2017-10-05,9690c09fc479c880824e0f998f7d3176fef03979,Fail,Other,Can not get zip to tmp,
,2017-09-11,83f27a7db3d2a226d9458292e734ae35abe4b332,Success,,,
,2017-08-18,d809076d01c28b9b819ab32d6af172004b3f8740,Success,,,
,2017-07-25,eb7d2eaa7c7047eec5c8a88f54a07d2d4822574c,Success,,,
,2017-06-30,f1161994a12adb42c8b8d6eddfaa4c45de92764f,Success,,,
,2017-06-06,7bad40f368e14182b3cbc88d56505858af3a0ddd,Success,,,
,2017-05-12,1252cae4ce543c5927f9bc885d680a3ce27d63d2,Success,,,
,2017-04-18,c5ee7cd4338a91ab40ee355612057b05b299b6d6,Success,,,
,2017-03-24,517bb6227304545d5c0cad1e9c516a336d83434b,Success,,,
,2017-02-28,1a36d36ec90d91094689cc3cb30c21be9b25276b,Success,,,
,2017-02-03,90760d334f912cef49ad32f275aed9cd9f1f2688,Success,,,
,2017-01-10,43399189db2a122e0cc17191636a61a1b5ddc094,Success,,,
,2016-12-16,fc89d74100b4c18220863e30b153c7e9b5fd444e,Success,,,
,2016-11-22,b35f07a7669c67f09a19a801846ac11bcee4048b,Success,,,
,2016-10-29,8a6ae9da0aff4d9d3dc023ce05048624a69fc212,Success,,,
,2016-10-06,71f6d677e4519852b8427fb827131f5fd176ffd2,Success,,,
,2016-09-12,72e9cbe4e28d20b87befe3ba700d0f54040e4c69,Success,,,
,2016-08-19,4264230472a6d8e2488abbbcf3911fda47f35c91,Success,,,
,2016-07-26,c556f011a58e64e4252a54b46b9b393776d1ad39,Success,,,
,2016-07-03,2f6dcec4f3f452770d1044db1fb1c4942bdf4ae8,Success,,,
,2016-06-09,36184d5596f83dc9a9fbfd3a6eb9bddbad12aa18,Success,,,
,2016-05-16,34d379196c3bf2129a391ce63a9890daa3d75b7b,Success,,,
,2016-04-22,047bf8bdddfc5faf0d61a15c89d1a43da65ecd4c,Success,,,
,2016-03-29,0efc8d843767f2b1feaaf1ee5f6afdb255a2664f,Success,,,
,2016-03-05,3e2ae3330125dc7a4ce9e004e5dbf2a32f1e076e,Success,,,
,2016-02-09,8db793d9dc55eb73022980deda2626e04c83868c,Fail,Dependency,,
,2016-01-16,d863b6eabce26bec24da60527fa1d4affac9f82d,Success,,,
,2015-12-23,093ac12e5106388c2ee33e2cca140856f1e4aa91,Success,,,
