,Date,Commit ID,Compilation Result,Error Type,Error Message,
,2022-02-28,d16b22cf364917d9c8b7c91fbc7040a89f562cea,Success,,,
,2022-01-10,801aca8abdce440f7c94092ed6e0144f6e0c1826,Success,,,
,2021-11-24,ee646b1c4ebb76530a7937c51323a7e584ef56d0,Success,,,
,2021-10-07,7230c053a2d24179094e8ced2aeb295d99216e19,Success,,,
,2021-08-20,278f27d64c6aa64b81658415435c8f7ce1797e45,Success,,,
,2021-07-04,3e0c3e73916d73a52b44cd616cb063f41dcfc007,Success,,,
,2021-05-17,b70f5a66de9cca74f92878a0be3022f2d481b942,Success,,,
,2021-03-30,35b16b8e4f68e1d2f36a8fb1c70df2050f778a20,Success,,,
,2021-02-10,a3157846207dd3979f45d0ca6eab66adf83e58e7,Success,,,
,2020-12-25,1ba0dd6bcd269c7c70fa9a65b4c55094efc77f88,Success,,,
,2020-11-08,d389dd4307da4b618178b0d5ad5c71511e45598a,Success,,,
,2020-09-21,8de61ebd7318f358f9fb9a5090ba81ce0ee7546f,Success,,,
,2020-08-04,05c5e003d79b9a5d10679db7800036184b1047f6,Success,,,
,2020-06-16,4222ec3fd195e22db5f5bf5f28ceb00af9446a80,Success,,,
,2020-04-29,8377e40fccfa82e251aa7b7f2ffbae40f95ff101,Success,,,
,2020-03-11,425b91b103c852022bb492117c4373339c14bf04,Success,,,
,2020-01-22,b521a35285c1e8a317ab18fbb55552894f907695,Success,,,
,2019-12-05,318737bb0ff8947c8fbf15e40ed447a9c8aee161,Success,,,
,2019-10-18,11e3040a597ac45ece9f94a53616fca38ed8f9ee,Fail,Dependency,,
,2019-08-31,cba6f54798453283817889b834cd99fc5b98e360,Fail,Dependency,,
,2019-07-14,b34daea63e38116bc080c30e22349e101f6d3609,Fail,Dependency,,
,2019-05-27,a474d119426b2387f917d108b4f8c3e2efaa9c93,Fail,Dependency,,
,2019-04-09,3e518c475deba6874b9b9f4f7d5dcf3639d4faad,Fail,Dependency,,
,2019-02-21,a30c090fc96a529eee683ced17572a37936d066a,Fail,Dependency,,
,2019-01-04,61e42df90d757dd72e05e6b05a1b8253abaef441,Fail,Dependency,,
,2018-11-17,7e6c3cb7450eeb43a536e3dbf3f04922a110d222,Fail,Dependency,,
,2018-09-30,f33a378c10dfc686515daa95ed04f3d77881a373,Fail,Dependency,,
,2018-08-13,223366702a13ef369f216af2ba443670f42f02a1,Fail,Dependency,,
,2018-06-26,0d4b52f53bb2b964929ed4330fd17fd2e85587a5,Fail,Dependency,,
,2018-05-09,84771d3b0b731add85a4b8f6d52f4ebc04e2e796,Fail,Dependency,,
,2018-03-22,0550da496a6184e258676b9d169559be5a8f1c9f,Fail,Dependency,,
,2018-02-02,f86bf659a1febc4974eace7d554ee3df5d8e1b47,Fail,Dependency,,
,2017-12-16,088b7190ae6e09a3e1fee3b64f845678b84feada,Fail,Dependency,,
,2017-10-30,ed884452b92943d08f5c983cacecaf791d91d87b,Fail,Dependency,,
,2017-09-12,378e94d23e4182689cd1b2cc6adbc2581ba03051,Fail,Dependency,,
,2017-07-26,c3d12bb6aad1181e1c4c9118d6db9e1b082ab7c2,Fail,Dependency,,
,2017-06-10,6b2051ea5359019729a79a1362ca7f9f3e266a48,Fail,Dependency,,
,2017-04-24,74ffa4082cb60f5f53efaab7a2a1da03e3a1f28f,Fail,Dependency,,
,2017-03-08,b32ce96c6597c90538dce41556c6400c95792e11,Fail,Dependency,,
,2017-01-19,0e608ee5310d96031ea96da1a11b0eb7c7a92a4e,Fail,Dependency,,
,2016-12-02,2bf285127e3f8ec705e7639618a61533881b7acb,Fail,Dependency,,
,2016-10-15,3891fce9baa61d3e699347769bb235310ca76758,Fail,Dependency,,
,2016-08-28,0480d3995be01254b1b4cb19077d3bc93f0607fc,Fail,Dependency,,
,2016-07-11,c612fe94df7ba871e0618cc0806f1cb23834e394,Fail,Dependency,,
,2016-05-24,a2565bebba790545a062525cb1f471dc62117225,Fail,Dependency,,
,2016-04-06,d7f4e93623809cfc10d3885c24afcc86f93a12c3,Fail,Dependency,,
,2016-02-17,fea7f2f8e915aae6f47d9548bf08e0ac4dc490a3,Fail,Dependency,,
,2015-12-31,0a75ecd613d9873095302fdb911b592a1e995f99,Fail,Dependency,,
,2015-11-14,e3e9d41a277a76c12bff8ad51dbb6fb228ff5302,Fail,Dependency,,
,2015-09-28,9fee0243db4bc890958051528877376524e3cff2,Fail,Dependency,,
,2015-08-08,f6ade7132789c6151dda36278b5435c5c71fff73,Fail,Dependency,,
,2015-06-21,0dc6cffce46abfa72b53c1cb36a2ea65ffb4c5da,Fail,Dependency,,
,2015-05-04,7ecf65bc6e6d78ec6c433addc0cb5bbd6be941e8,Fail,Dependency,,
,2015-03-17,01b68f093f7f901c241440c85317e2d165094f4f,Fail,Dependency,,
,2015-01-28,3e4238df3e656eafff27aa30a0f4be8c268f733a,Fail,Dependency,,
,2014-12-11,f41a3de8461c6ddf1224384c02507ed9c362e526,Fail,Dependency,,
,2014-10-24,3e268fc88aa488aa0f95130a5f3dfbceb6993a01,Fail,Dependency,,
,2014-09-07,4168423ab18deb8eaa9abfbb588ed48214360e5a,Fail,Dependency,,
,2014-07-21,0b2182bff2250150e69ccb988f367e709b4560de,Fail,Dependency,,
,2014-06-04,194b29270d418b1b8642f5746a49873018f115c1,Fail,Dependency,,
