,Date,Commit ID,Compilation Result,Error Type,Error Message,
,2022-02-28,58e6993b68e4aee91859d05c253fb323fa7f39b8,Fail,Other ,Failing test,
,2022-02-10,9c55c8d45663c4c45482c9f1e98ea369be583e5d,Fail,Other ,Failing test,
,2022-01-23,8649a4672c8b092dfe2330df254612719f037181,Success,,,
,2022-01-05,71f063b465244bd954ea39883ced713a49dc1b67,Success,,,
,2021-12-18,b88cb5620adc7dd7a1d152c7472486383a17d9bb,Success,,,
,2021-11-30,74997afe6a25781d6e06173e9250d948d9434c88,Success,,,
,2021-11-11,20c0ac1637acb8069b656452ff39eb0dbf9baef1,Success,,,
,2021-10-24,7e17a5784899408bc349c168a775b2772fbb806a,Success,,,
,2021-10-06,38d4834ba72b7bfd402c48149a1050b4a23329c2,Success,,,
,2021-09-18,a20035a3b65e2df55685785fedfff7696c8fa981,Success,,,
,2021-09-01,5c6493a5fc76f2e11441d39af05e3f3208283896,Success,,,
,2021-08-14,a3b26c20215a0bd4701baa97352c0656c9d04783,Success,,,
,2021-07-27,abe513199715dd4639514638bce9555f7e243308,Success,,,
,2021-07-07,dd50cb1c67ca21cdd29d24c9811272575e703408,Success,,,
,2021-06-23,2b1c3a6d2cdc92a4d01b062c163861fc695c4e4d,Success,,,
,2021-06-09,31f17c5e99eb338a153c74f4484502746609a5d0,Success,,,
,2021-05-22,fdacf6fcaab880f885de5cf7bf63a05f0af47e60,Success,,,
,2021-05-06,841d558018abe8b7fb77b53973c40debd23aecf0,Success,,,
,2021-04-18,32c2de232594bb423c2b5da4818801c66dca17b9,Success,,,
,2021-03-28,9e792f89a2d299e9de0c96c8a6398b32929b2042,Fail,Other,Could not import Ant build file,
,2021-03-10,6a967ae6228dbe7beaf56c727c08770bad2e669f,Fail,Other,https://ci-builds.apache.org/job/POI/job/POI-XMLBeans-DSL-1.8/lastSuccessfulBuild/artifact/build/xmlbeans-5.0.0.jar,
,2021-02-21,259c9967efb354a0feff2a861ac8bd20582b6562,Success,,,
,2021-02-02,4fcd98573ff016ce82d48ecd42d0602301ca4746,Success,,,
,2021-01-15,309e657b0d8479583847d684febc3db10f12b4c4,Fail,Compilation,,
,2020-12-28,b7463df98ce68836356e827ace44dd3e339aa7fe,Success,,,
,2020-12-10,c0ecc83ee4e52e8feffa4737e276420ac4451fca,Success,,,
,2020-11-27,51e74e8f52921d06db5310723e5f0d1d976854bb,Success,,,
,2020-11-09,134b4ba762f33a2575092653ab73e416af1e0034,Success,,,
,2020-10-22,a2dcb10f67c816acd1ab9ed779dae12ad7536603,Success,,,
,2020-10-10,2a292cb42daa66f193e2c18aebd0c5d2e6ab365c,Fail,Other,https://ci-builds.apache.org/job/POI/job/POI-XMLBeans-DSL-1.8/lastSuccessfulBuild/artifact/build/xmlbeans-5.0.0.jar,
,2020-09-22,7c0327c8b101fcd093aae5a83b37a99f0809ffd1,Fail,Compilation,,
,2020-09-03,33bc915578fe7bd059800d5ec77b803cd9f63e35,Fail,Compilation,,
,2020-08-16,506089a9f1dddb0357bdbd18c56af2c9d5910e0d,Success,,,
,2020-07-24,a96baf1d4544cad0d7e6b3c98bc644d9089fcead,Success,,,
,2020-07-06,4f23e946fbd95c1a46a15c84483d0969bedf0b13,Success,,,
,2020-06-19,9be2598119dc41f9625d1eeab9245b01854c64c1,Success,,,
,2020-06-02,84330c6aa3a96fff4bbd5593b7173209187ec474,Success,,,
,2020-05-15,af8137a6e4d7a9c26ad0c91ec6f0642fc1a196f3,Fail,Compilation,,
,2020-04-28,8b4f463ed3d11034888c672228e5057db802a92d,Fail,Other,Can not get zip to tmp,
,2020-04-11,50d52bf8285925ceaf6f93d0204333e4ee7a6747,Fail,Other,Can not get zip to tmp,
,2020-03-24,9649ca955ae98b28ed34d9a6ada01e32ea9309e7,Fail,Other,Can not get zip to tmp,
,2020-03-06,ee61d3eb56975e59bbdae564390ead3c9a33a052,Fail,Other,Can not get zip to tmp,
,2020-02-17,bc969fe4aa27bfb7d044e2ae4588f74754d45f6d,Fail,Other,Can not get zip to tmp,
,2020-01-30,0cb1629365ec056af8570cc2aa411418ea10b2dc,Fail,Other,Can not get zip to tmp,
,2020-01-12,b211a1362c9d0a067bff9de057e2ae12b3f8d774,Fail,Other,Can not get zip to tmp,
,2019-12-26,37282aae8f25970b157c40ae0888684f974ba666,Fail,Other,Can not get zip to tmp,
,2019-12-08,cdd945b0dad2da59954c4774ef6a044f255aa820,Fail,Other,Can not get zip to tmp,
,2019-11-20,cdd945b0dad2da59954c4774ef6a044f255aa820,Fail,Other,Can not get zip to tmp,
,2019-11-01,f7c28ad08f34de47bdc1f6315ccd858570a363e5,Fail,Other,Can not get zip to tmp,
,2019-10-14,96eb0bd60ade45bae8987bfcede0dc874ae7cb35,Fail,Other,Can not get zip to tmp,
,2019-09-26,97c21e31b10a37365cf499dbe1c5345680c872df,Fail,Other,Can not get zip to tmp,
,2019-09-11,7e432a3211a3fd259897224849489690fd767f0e,Fail,Other,Can not get zip to tmp,
,2019-08-24,3623bea5058cb642888a7199e5ceaecdac4c0a62,Fail,Other,Can not get zip to tmp,
,2019-07-25,958f72caaea9a06ce60dddecfe3af6d611be0b63,Fail,Other,Can not get zip to tmp,
,2019-07-10,c7bcd70d54e32c2bb671c579df78eadd1f3ed50d,Fail,Other,Can not get zip to tmp,
,2019-06-22,9cde034ab97f4fc512682f3320300d9b55f48095,Fail,Other,Can not get zip to tmp,
,2019-06-05,8808bf7b723c6b47939034b6c8f23feb5c778521,Fail,Other,Can not get zip to tmp,
,2019-05-20,217a7caae6dcb0b02debe3a187d637f155f9ae65,Fail,Other,Can not get zip to tmp,
,2019-05-04,ea0e01acc11dbec8a120a7583535935abe3f8f6c,Fail,Other,Can not get zip to tmp,
,2019-04-17,103b011b4a7f767b7bbb0356f6b82e4d366d83af,Fail,Other,Node.js issue,
,2019-03-30,b9101138bdbac0dafc4267987d33ed97d6a351bb,Fail,Other,Node.js issue,
,2019-03-14,126606c838dcba5d937de565661bd464abdbaab4,Fail,Other,Can not get zip to tmp,
,2019-02-23,00a274c656efbb5ac2fbdf038c489e2617dfb5b9,Fail,Other,Can not get zip to tmp,
,2019-02-09,c438465b08ccb9905981969af52872ead8de8d28,Fail,Other,Can not get zip to tmp,
,2019-01-22,bf59b76c22ae759dead7743995fd5dc8009d03fe,Fail,Other,Can not get zip to tmp,
,2019-01-04,0849bbc614b8cb1f7d7565330c31fa6ff874e69b,Fail,Other,Can not get zip to tmp,
,2018-12-17,9f3c99c25c6206e48a466d8184b71dc0fd10424e,Fail,Other,Can not get zip to tmp,
,2018-11-30,494eaa04f9baceaa4068174705485c063bb94a73,Fail,Other,Can not get zip to tmp,
,2018-11-12,940daf0d923f84a5ea8cc02397060c84d4f90ae7,Fail,Other,Can not get zip to tmp,
,2018-10-26,af9142e4b744638fa448f81081a7cda1bc376576,Fail,Other,Can not get zip to tmp,
,2018-10-08,e07b0284cffb5c67172f2a6a256ce3897665e228,Fail,Other,Can not get zip to tmp,
,2018-09-30,510947d6660a376228b821d76dab24ddfc6c467f,Fail,Other,Can not get zip to tmp,
,2018-09-14,a6a55a6ca514f9e76a784aadbec0d6d774ba8b9a,Fail,Other,Can not get zip to tmp,
,2018-08-27,dbedfe14e8136bb095da0ee6672e399fd41a5d16,Fail,Other,Can not get zip to tmp,
,2018-08-09,9ae7bdd2cd02cf588a96a75102c6201113a99bfa,Fail,Other,Can not get zip to tmp,
,2018-07-22,93427725762663da8f2865706abbf21ecbbfaf68,Fail,Other,Can not get zip to tmp,
,2018-07-04,329cbd3d99d0a800bcd31056c7fa8eb2803a3093,Fail,Other,Can not get zip to tmp,
,2018-06-17,5bb9ab0609aba63cd16c6ae6edc1fe2797e02c78,Fail,Other,Can not get zip to tmp,
,2018-05-28,c736ce9dfa04588c038f9aec00c66c9a01db2817,Fail,Other,Can not get zip to tmp,
,2018-05-10,f0af1652031b8c3db2a9dc369352cfd0c358321a,Fail,Other,Can not get zip to tmp,
,2018-04-20,a276d5d3f6b3c332cde1d2cf586379c6af4e3a0b,Fail,Other,Can not get zip to tmp,
,2018-04-02,df76db9d3b917e51a0e7ee37f166f9ad3164c736,Fail,Other,Could not import Ant build file,
,2018-03-13,61bd8bf911801998ce97f132ecd38d819b52d6c6,Fail,Other,Could not import Ant build file,
,2018-02-23,617013a3763f4c6d3e6c86036374978a5a0c2c37,Fail,Other,Could not import Ant build file,
,2018-02-02,a911347aae82b44d6bf9c894a9846c28f7fb338f,Fail,Other,Could not import Ant build file,
,2018-01-11,c15a35b4c7d9cfd07614032919f1025b3442fbc9,Fail,Other,Could not import Ant build file,
,2017-12-26,80e430f295785cc70558d04c0d130dd53c23b29e,Fail,Other,Could not import Ant build file,
,2017-12-09,f182b44c62425854a1dfc5fc384ba8fc2fd70dbf,Fail,Other,Could not import Ant build file,
,2017-11-21,acc7b356ee8310c3f4fc694426bec365d266c370,Fail,Other,Could not import Ant build file,
