date,result
2022-02-27,Success
2022-01-26,Success
2021-12-31,Success
2021-11-28,Success
2021-10-25,Success
2021-09-28,Success
2021-08-25,Success
2021-07-27,Success
2021-06-29,Success
2021-05-29,Success
2021-04-26,Success
2021-03-31,Success
2021-02-25,Success
2021-01-30,Success
2021-01-19,Success
2020-12-18,Success
2020-11-27,Success
2020-10-30,Success
2020-09-29,Success
2020-08-31,Success
2020-07-30,Success
2020-06-23,Success
2020-05-27,Success
2020-04-30,Success
2020-03-22,Success
2020-02-29,Success
2020-01-27,Success
2019-12-16,Success
2019-11-04,Success
2019-10-21,Success
2019-08-09,Success
2019-07-13,Success
2019-06-16,Success
2019-05-26,Success
2019-04-22,Success
2019-03-30,Success
2019-02-27,Success
2019-01-31,Success
2018-12-28,Success
2018-11-27,Success
2018-11-18,Success
2018-10-05,Success
2019-09-21,Success
2018-08-27,Success
2018-07-20,Success
2018-06-28,Success
2018-05-31,Fail
2018-04-29,Fail
2018-03-20,Fail
2018-02-28,Fail
2018-01-31,Fail
2017-12-30,Fail
2017-11-30,Fail
2017-10-20,Success
2017-09-25,Success
2017-08-28,Success
2017-07-23,Success
2017-06-30,Success
2017-05-30,Success
2017-04-30,Success
2017-03-30,Success
2017-03-10,Success
2017-02-15,Success
2017-01-23,Success
2016-12-30,Success
2016-11-28,Success
2016-10-30,Success
2016-09-21,Success
2016-08-30,Success
2016-07-19,Success
2016-06-23,Success
2016-05-27,Success
2016-04-29,Success
2016-03-31,Success
2016-02-26,Success
2016-01-31,Success
2015-12-30,Success
2015-11-25,Success
2015-10-31,Success
2015-09-30,Success
2015-08-30,Success
2015-07-31,Success
2015-06-29,Success
2015-05-30,Success
2015-04-30,Success
2015-03-31,Success
2015-02-26,Success
2015-01-30,Success
2014-12-23,Success
2014-11-26,Fail
2014-10-31,Fail
2014-09-30,Fail
2014-08-26,Fail
2014-07-31,Fail
2014-06-30,Fail
2014-05-30,Fail
2014-04-30,Success
2014-03-25,Success
2014-02-28,Success
2014-02-04,Success
