date,result
2022-02-23,Success
2022-01-26,Fail
2022-01-01,Fail
2021-12-09,Fail
2021-11-15,Fail
2021-10-21,Fail
2021-09-28,Fail
2021-09-03,Fail
2021-08-11,Fail
2021-07-19,Fail
2021-06-25,Fail
2021-06-01,Fail
2021-05-05,Fail
2021-04-13,Fail
2021-03-20,Fail
2021-02-24,Fail
2021-02-01,Fail
2021-01-08,Fail
2020-02-15,Fail
2020-11-20,Fail
2020-10-27,Fail
2020-10-03,Fail
2020-09-09,Fail
2020-08-15,Fail
2020-07-22,Fail
2020-06-28,Fail
2020-06-04,Fail
2020-05-11,Fail
2020-04-17,Fail
2020-03-24,Fail
2020-02-28,Fail
2020-02-04,Fail
2020-01-10,Fail
2019-12-17,Fail
2019-11-22,Fail
2019-10-29,Fail
2019-10-06,Fail
2019-09-12,Fail
2019-08-19,Fail
2019-07-25,Fail
2019-07-01,Fail
2019-06-07,Fail
2019-05-14,Fail
2019-04-19,Fail
2019-03-26,Fail
2019-03-02,Fail
2019-02-06,Fail
2019-01-14,Fail
2018-12-21,Fail
2018-11-27,Fail
2018-11-04,Fail
2018-10-11,Fail
2018-09-17,Fail
2018-08-24,Fail
2018-07-31,Fail
2018-07-06,Fail
2018-06-13,Success
2018-05-21,Success
2018-04-27,Success
2018-04-03,Success
2018-03-09,Success
2018-02-13,Success
2018-01-10,Fail
2017-12-18,Fail
2017-11-22,Fail
2017-10-30,Fail
2017-10-05,Fail
2017-09-11,Success
2017-08-18,Success
2017-07-25,Success
2017-06-30,Success
2017-06-06,Success
2017-05-12,Success
2017-04-18,Success
2017-03-24,Success
2017-02-28,Success
2017-02-03,Success
2017-01-10,Success
2016-12-16,Success
2016-11-22,Success
2016-10-29,Success
2016-10-06,Success
2016-09-12,Success
2016-08-19,Success
2016-07-26,Success
2016-07-03,Success
2016-06-09,Success
2016-05-16,Success
2016-04-22,Success
2016-03-29,Success
2016-03-05,Success
2016-02-09,Fail
2016-01-16,Success
2015-12-23,Success
2015-11-29,Fail
2015-11-05,Fail
2015-10-07,Fail
2015-09-14,Fail
2015-08-21,Fail
2015-07-28,Fail
