date,result,
2022-02-28,Success,
2022-01-10,Success,
2021-11-24,Success,
2021-10-07,Success,
2021-08-20,Success,
2021-07-04,Success,
2021-05-17,Success,
2021-03-30,Success,
2021-02-10,Success,
2020-12-25,Success,
2020-11-08,Success,
2020-09-21,Success,
2020-08-04,Success,
2020-06-16,Success,
2020-04-29,Success,
2020-03-11,Success,
2020-01-22,Success,
2019-12-05,Success,
2019-10-18,Fail,
2019-08-31,Fail,
2019-07-14,Fail,
2019-05-27,Fail,
2019-04-09,Fail,
2019-02-21,Fail,
2019-01-04,Fail,
2018-11-17,Fail,
2018-09-30,Fail,
2018-08-13,Fail,
2018-06-26,Fail,
2018-05-09,Fail,
2018-03-22,Fail,
2018-02-02,Fail,
2017-12-16,Fail,
2017-10-30,Fail,
2017-09-12,Fail,
2017-07-26,Fail,
2017-06-10,Fail,
2017-04-24,Fail,
2017-03-08,Fail,
2017-01-19,Fail,
2016-12-02,Fail,
2016-10-15,Fail,
2016-08-28,Fail,
2016-07-11,Fail,
2016-05-24,Fail,
2016-04-06,Fail,
2016-02-17,Fail,
2015-12-31,Fail,
2015-11-14,Fail,
2015-09-28,Fail,
2015-08-08,Fail,
2015-06-21,Fail,
2015-05-04,Fail,
2015-03-17,Fail,
2015-01-28,Fail,
2014-12-11,Fail,
2014-10-24,Fail,
2014-09-07,Fail,
2014-07-21,Fail,
2014-06-04,Fail,
2014-04-17,Fail,
2014-02-28,Fail,
2014-01-12,Fail,
2013-11-25,Fail,
2013-10-08,Fail,
2013-08-21,Fail,
2013-07-04,Fail,
2013-05-18,Fail,
2013-03-31,Fail,
2013-02-11,Fail,
2012-12-25,Fail,
2012-11-07,Fail,
2012-09-20,Fail,
2012-08-03,Fail,
2012-06-16,Fail,
2012-04-30,Fail,
2012-03-13,Fail,
2012-01-24,Fail,
2011-12-07,Fail,
2011-10-20,Fail,
2011-09-02,Fail,
2011-07-16,Fail,
2011-05-29,Fail,
2011-04-11,Fail,
2011-02-22,Fail,
2011-01-05,Fail,
2010-11-18,Fail,
2010-10-01,Fail,
2010-08-14,Fail,
2010-06-27,Fail,
2010-05-10,Fail,
2010-03-23,Fail,
2010-02-04,Fail,
2009-12-18,Fail,
2009-10-31,Fail,
2009-09-13,Fail,
2009-07-27,Fail,
2009-06-09,Fail,
2009-04-22,Fail,
2009-03-05,Fail,
