date,result
2022-02-28,Success
2022-02-19,Success
2022-02-13,Success
2022-02-02,Success
2022-01-24,Success
2022-01-15,Success
2022-01-05,Success
2021-12-27,Success
2021-12-19,Success
2021-12-10,Success
2021-12-02,Success
2021-11-20,Success
2021-11-15,Success
2021-11-04,Success
2021-10-26,Success
2021-10-16,Success
2021-10-10,Success
2021-09-21,Success
2021-09-11,Success
2021-09-02,Success
2021-08-24,Success
2021-08-17,Success
2021-08-09,Success
2021-06-17,Success
2021-06-09,Success
2021-05-30,Success
2021-05-22,Success
2021-05-08,Success
2021-04-28,Success
2021-04-17,Success
2021-04-10,Success
2021-04-02,Success
2021-03-27,Success
2021-03-20,Success
2021-03-12,Success
2021-03-05,Success
2021-02-27,Success
2021-02-21,Success
2021-02-13,Success
2021-01-26,Success
2021-01-15,Success
2021-01-09,Success
2021-01-02,Success
2020-12-23,Success
2020-12-17,Success
2020-12-08,Success
2020-11-29,Success
2020-11-09,Success
2020-10-31,Success
2020-10-23,Success
2020-10-18,Success
2020-10-09,Success
2020-09-30,Success
2020-09-22,Success
2020-09-13,Success
2020-09-05,Success
2020-08-28,Success
2020-08-19,Success
2020-08-10,Success
2020-08-02,Success
2020-07-25,Success
2020-07-17,Success
2020-07-08,Success
2020-06-24,Success
2020-06-16,Success
2020-06-07,Success
2020-05-30,Success
2020-05-26,Success
2020-05-16,Success
2020-05-07,Success
2020-04-28,Success
2020-04-25,Success
2020-04-11,Success
2020-04-02,Success
2020-03-24,Success
2020-03-15,Success
2020-03-07,Success
2020-02-26,Success
2020-02-17,Success
2020-02-07,Success
2020-01-27,Success
2020-01-17,Success
2020-01-07,Success
2019-12-28,Success
2019-12-22,Success
2019-12-13,Success
2019-12-04,Success
2019-11-27,Success
2019-11-19,Success
2019-11-10,Success
2019-11-02,Success
2019-10-26,Success
2019-10-17,Success
2019-10-08,Success
2019-09-29,Success
2019-09-20,Success
2019-09-13,Success
2019-09-05,Success
2019-08-28,Success
2019-08-20,Success
