date,result,
2022-02-28,Success,
2022-01-30,Success,
2022-01-03,Success,
2021-12-03,Success,
2021-11-04,Success,
2021-10-06,Success,
2021-09-07,Success,
2021-08-09,Success,
2021-07-10,Success,
2021-06-11,Success,
2021-05-12,Success,
2021-04-13,Success,
2021-03-15,Fail,
2021-02-14,Fail,
2021-01-16,Fail,
2020-12-18,Fail,
2020-11-19,Success,
2020-10-21,Success,
2020-09-22,Success,
2020-08-24,Success,
2020-07-26,Success,
2020-06-27,Success,
2020-05-29,Success,
2020-04-30,Success,
2020-04-01,Success,
2020-03-03,Success,
2020-02-02,Success,
2020-01-03,Success,
2019-12-05,Success,
2019-11-06,Success,
2019-10-08,Success,
2019-09-09,Success,
2019-08-11,Success,
2019-07-13,Success,
2019-06-14,Success,
2019-05-16,Success,
2019-04-17,Success,
2019-03-19,Success,
2019-02-18,Success,
2019-01-20,Success,
2018-12-22,Success,
2018-11-23,Success,
2018-10-24,Success,
2018-09-25,Success,
2018-08-25,Success,
2018-07-27,Success,
2018-06-28,Success,
2018-05-30,Success,
2018-05-01,Success,
2018-04-02,Success,
2018-03-03,Success,
2018-02-02,Success,
2018-01-04,Success,
2017-12-06,Success,
2017-11-07,Success,
2017-10-09,Success,
2017-09-10,Success,
2017-08-12,Success,
2017-07-14,Success,
2017-06-15,Success,
2017-05-16,Success,
2017-04-17,Success,
2017-03-20,Success,
2017-02-18,Success,
2017-01-20,Success,
2016-12-22,Success,
2016-11-23,Success,
2016-10-25,Success,
2016-09-26,Success,
2016-08-26,Success,
2016-07-28,Success,
2016-06-29,Success,
2016-05-31,Success,
2016-05-01,Success,
2016-04-02,Success,
2016-03-04,Success,
2016-02-03,Success,
2016-01-05,Success,
2015-12-07,Success,
2015-11-08,Success,
2015-10-10,Success,
2015-09-11,Success,
2015-08-13,Success,
2015-07-15,Success,
2015-06-16,Success,
2015-05-18,Success,
2015-04-19,Success,
2015-03-19,Success,
2015-02-18,Success,
2015-01-20,Success,
2014-12-24,Success,
2014-11-25,Success,
2014-10-27,Fail,
2014-09-26,Fail,
2014-08-29,Fail,
2014-07-30,Fail,
2014-07-01,Fail,
2014-06-03,Fail,
2014-05-05,Fail,
2014-04-01,Fail,
