date,result
2022-02-28,Success
2022-02-07,Success
2022-01-18,Success
2021-12-29,Success
2021-12-10,Success
2021-11-20,Success
2021-10-31,Success
2021-10-11,Fail
2021-09-21,Fail
2021-09-01,Fail
2021-08-01,Fail
2021-07-13,Fail
2021-06-24,Fail
2021-06-03,Fail
2021-05-14,Fail
2021-04-27,Fail
2021-04-05,Fail
2021-03-15,Fail
2021-02-23,Fail
2021-02-03,Success
2021-01-14,Success
2020-12-25,Success
2020-12-05,Success
2020-11-15,Success
2020-10-26,Success
2020-10-06,Success
2020-09-16,Success
2020-08-27,Success
2020-08-07,Success
2020-07-18,Success
2020-06-28,Success
2020-06-08,Success
2020-05-19,Success
2020-04-29,Success
2020-04-09,Success
2020-03-20,Success
2020-02-28,Success
2020-02-08,Success
2020-01-17,Success
2019-12-30,Success
2019-12-11,Success
2019-11-21,Success
2019-10-30,Success
2019-10-11,Success
2019-09-22,Success
2019-09-02,Success
2019-08-22,Success
2019-08-02,Success
2019-07-13,Success
2019-06-24,Success
2019-06-02,Success
2019-05-11,Success
2019-04-24,Success
2019-04-04,Success
2019-03-14,Success
2019-02-25,Success
2019-02-03,Success
2019-01-13,Fail
2018-12-24,Fail
2018-12-03,Fail
2018-11-13,Fail
2018-10-24,Fail
2018-10-05,Fail
2018-09-14,Fail
2018-08-24,Fail
2018-08-04,Fail
2018-07-15,Fail
2018-06-26,Fail
2018-06-05,Fail
2018-05-15,Fail
2018-04-26,Fail
2018-04-06,Fail
2018-03-17,Fail
2018-02-25,Fail
2018-02-05,Fail
2018-01-16,Fail
2017-12-29,Fail
2017-12-07,Fail
2017-11-17,Fail
2017-10-28,Fail
2017-10-08,Fail
2017-09-19,Fail
2017-08-30,Fail
2017-08-09,Fail
2017-07-20,Fail
2017-06-30,Fail
2017-06-10,Fail
2017-05-21,Fail
2017-05-01,Fail
2017-04-11,Fail
2017-03-22,Fail
2017-03-01,Fail
2017-02-11,Success
2017-01-21,Success
2017-01-02,Success
2016-12-11,Success
2016-11-21,Success
2016-11-01,Success
2016-10-11,Success
2016-09-21,Success
