date,result
2022-02-28,Fail
2022-02-10,Fail
2022-01-23,Success
2022-01-05,Success
2021-12-18,Success
2021-11-30,Success
2021-11-11,Success
2021-10-24,Success
2021-10-06,Success
2021-09-18,Success
2021-09-01,Success
2021-08-14,Success
2021-07-27,Success
2021-07-07,Success
2021-06-23,Success
2021-06-09,Success
2021-05-22,Success
2021-05-06,Success
2021-04-18,Success
2021-03-28,Fail
2021-03-10,Fail
2021-02-21,Success
2021-02-02,Success
2021-01-15,Fail
2020-12-28,Success
2020-12-10,Success
2020-11-27,Success
2020-11-09,Success
2020-10-22,Success
2020-10-10,Fail
2020-09-22,Fail
2020-09-03,Fail
2020-08-16,Success
2020-07-24,Success
2020-07-06,Success
2020-06-19,Success
2020-06-02,Success
2020-05-15,Fail
2020-04-28,Fail
2020-04-11,Fail
2020-03-24,Fail
2020-03-06,Fail
2020-02-17,Fail
2020-01-30,Fail
2020-01-12,Fail
2019-12-26,Fail
2019-12-08,Fail
2019-11-20,Fail
2019-11-01,Fail
2019-10-14,Fail
2019-09-26,Fail
2019-09-11,Fail
2019-08-24,Fail
2019-07-25,Fail
2019-07-10,Fail
2019-06-22,Fail
2019-06-05,Fail
2019-05-20,Fail
2019-05-04,Fail
2019-04-17,Fail
2019-03-30,Fail
2019-03-14,Fail
2019-02-23,Fail
2019-02-09,Fail
2019-01-22,Fail
2019-01-04,Fail
2018-12-17,Fail
2018-11-30,Fail
2018-11-12,Fail
2018-10-26,Fail
2018-10-08,Fail
2018-09-30,Fail
2018-09-14,Fail
2018-08-27,Fail
2018-08-09,Fail
2018-07-22,Fail
2018-07-04,Fail
2018-06-17,Fail
2018-05-28,Fail
2018-05-10,Fail
2018-04-20,Fail
2018-04-02,Fail
2018-03-13,Fail
2018-02-23,Fail
2018-02-02,Fail
2018-01-11,Fail
2017-12-26,Fail
2017-12-09,Fail
2017-11-21,Fail
2017-11-02,Fail
2017-10-15,Fail
2017-09-26,Fail
2017-09-08,Fail
2017-08-20,Fail
2017-08-01,Fail
2017-07-14,Fail
2017-06-25,Fail
2017-06-07,Fail
2017-05-20,Fail
2017-05-02,Fail
