date,result,
2022-03-06,Success,
2022-01-25,Success,
2021-12-15,Success,
2021-10-29,Success,
2021-09-18,Success,
2021-08-16,Success,
2021-07-07,Success,
2021-05-31,Success,
2021-04-27,Success,
2021-03-13,Success,
2021-01-30,Success,
2020-12-16,Success,
2020-10-03,Fail,
2020-08-23,Fail,
2020-07-18,Fail,
2020-05-09,Fail,
2020-03-31,Fail,
2020-02-19,Fail,
2020-01-11,Fail,
2019-11-10,Fail,
2019-09-21,Fail,
2019-06-23,Fail,
2019-04-19,Fail,
2019-03-15,Fail,
2019-01-17,Fail,
2018-12-08,Success,
2018-10-27,Success,
2018-08-06,Success,
2018-07-14,Success,
2018-05-28,Success,
2018-01-30,Success,
2017-11-27,Success,
2017-10-18,Success,
2017-04-20,Success,
2017-03-09,Success,
2017-01-14,Success,
2016-11-10,Success,
2016-10-04,Success,
2016-09-05,Success,
2016-08-09,Success,
2016-07-08,Success,
2016-06-08,Success,
2016-04-26,Success,
2016-03-21,Success,
2016-02-24,Success,
2016-01-13,Success,
2015-12-15,Success,
2015-11-12,Success,
2015-10-14,Success,
2015-09-07,Success,
2015-08-14,Success,
2015-07-16,Success,
2015-06-17,Success,
2015-05-13,Success,
2015-04-15,Success,
2015-03-16,Success,
2015-02-16,Success,
2015-01-16,Success,
2014-12-19,Success,
2014-11-13,Success,
2014-10-12,Success,
2014-09-12,Success,
2014-08-18,Fail,
2014-07-17,Fail,
2014-06-17,Fail,
2014-05-17,Fail,
2014-04-17,Fail,
2014-03-18,Fail,
2014-02-17,Fail,
2014-01-10,Fail,
2013-12-10,Fail,
2013-11-06,Fail,
2013-10-11,Fail,
2013-09-05,Fail,
2013-08-03,Fail,
2013-06-29,Fail,
2013-05-23,Fail,
2013-04-20,Fail,
2013-03-15,Fail,
2013-02-06,Fail,
2013-01-03,Fail,
2012-11-30,Fail,
2012-10-26,Fail,
2012-09-17,Fail,
2012-08-14,Fail,
2012-07-13,Fail,
2012-06-07,Fail,
2012-04-27,Fail,
2012-03-23,Fail,
2012-02-17,Fail,
2012-01-06,Fail,
2011-12-01,Fail,
2011-10-28,Fail,
2011-09-25,Fail,
2011-08-19,Fail,
2011-07-15,Fail,
2011-06-10,Fail,
2011-05-05,Fail,
2011-04-01,Fail,
2011-02-09,Fail,
