date,result
2022-03-14,Success
2022-02-19,Success
2022-02-16,Success
2022-02-14,Success
2022-02-12,Success
2022-02-11,Success
2022-02-10,Success
2022-02-09,Success
2022-02-08,Success
2022-02-07,Success
2022-02-06,Success
2022-02-02,Success
2022-01-16,Success
2022-01-11,Success
2022-01-09,Success
2022-01-08,Success
2022-01-07,Success
2022-01-06,Success
2022-01-05,Success
2022-01-01,Success
2021-12-31,Success
2021-12-30,Fail
2021-12-29,Success
2021-12-28,Fail
2021-12-27,Success
